crd,subsidiaries
40805,107574
40805,30096
40805,118697
40805,119475
40805,137432
40805,135424
40805,142117
40805,39805
40805,105477
40805,3336
298660,112747
17507,301896
17507,299736
17507,288590
17507,171752
17507,168741
17507,148239
17507,148045
17507,133196
17507,115324
17507,7784
17507,108273
17507,108281
17507,104555
17507,13041
286268,174167
286268,132197
154376,138524
156936,107619
156936,36155
43649,7270
8127,14416
8127,5496
8127,31052
8127,7395
136102,135287
11826,299280
36427,43882
36427,10582
36427,345
36427,13686
36427,34633
36427,5958
36427,7665
36427,16100
36427,17525
36427,32444
25988,136131
41101,37791
41101,45032
41101,35479
112033,159233
112033,38357
112033,111297
173273,133164
297029,306524
45936,282416
152920,297739
152920,170303
152920,112551
37216,41791
127858,283338
127858,163576
37466,109771
37466,10674
47363,161498
47363,121767
47363,867
47363,2347
32458,149760
32458,114924
23928,166028
139760,155860
139760,167331
139760,162888
139760,124506
139760,110596
139760,110590
10582,152884
10582,147930
10582,19616
10582,132377
10582,110667
10582,131539
10582,112660
10582,107469
10582,133204
10582,133333
10582,126292
10582,487
10582,104594
10582,35419
10582,11025
10582,107923
10582,17344
10582,116407
10582,130139
10582,104556
10582,123513
10582,113624
10582,133366
10582,106487
10582,104973
10582,110841
10582,105423
10582,110052
10582,13686
10582,5958
10582,16100
612,143597
612,289358
612,161684
612,154957
612,149003
612,111925
612,25567
612,104559
132938,169439
132938,114527
132938,40178
132938,120270
132938,111079
132938,16443
132938,12984
132938,107269
132938,2225
132938,29604
143809,306760
143809,103848
143809,15883
143809,173734
143809,148477
143809,172662
143809,172663
143809,118787
143809,103934
143809,35682
143809,147382
143809,150987
143809,31334
143809,13494
143809,15634
143809,45943
143809,30016
143809,7174
143809,130745
143809,46106
174708,174030
37027,22067
107622,142463
107622,285684
17531,107328
17531,110613
17531,106909
17531,106484
17531,111818
44785,42666
44785,14343
36379,124971
300679,147763
115405,122494
115405,121783
115405,120789
115405,120570
115405,22589
115405,119003
115405,117736
115405,113515
115405,111902
115405,15296
115405,47086
8060,40077
8327,17587
8327,6220
8327,107919
14997,110965
14997,298
157249,157960
39468,284486
113413,33563
113413,32034
174297,44542
35230,305963
35230,157067
30688,102760
30688,46379
30688,40904
30688,46380
30688,34214
30688,34511
30688,42239
155964,10151
155964,109550
155964,14455
155964,19685
30344,147521
30344,158959
30344,147933
30344,111386
30344,138602
30344,133373
30344,142824
30344,137463
30344,149777
30344,142047
30344,134366
30344,127488
30344,126896
30344,117050
30344,110353
30344,105922
30344,36142
30344,8209
7353,286297
7353,155071
7353,105963
7353,137024
7353,104950
7691,283942
7691,142558
7691,16139
47588,172681
47588,142949
47588,142846
37692,30211
151011,307176
46295,110558
46295,33801
46295,33725
46295,33724
46295,18427
46295,33726
46295,34361
18427,110558
18427,33725
18427,33726
15768,112938
36369,41271
25450,152339
18466,143719
18466,103705
18466,107997
18466,149936
18466,139512
18466,135603
18466,117198
131114,281102
131114,172693
131114,116797
6635,165753
6635,119200
6635,140963
6635,46173
5633,1914
5633,131556
5633,164484
5633,153744
5633,18476
5633,7870
5633,111514
37449,421
37449,154149
37449,157767
37449,150088
37449,133763
37449,21774
37449,23131
37449,7461
37449,13158
37449,5435
37449,42803
35592,42046
24074,120500
24074,111925
24074,108056
24074,105251
24074,109592
24074,109627
24074,114561
24074,116884
24074,107032
24074,105400
24074,28349
24074,40875
24074,18541
24074,25567
24074,31205
24074,41957
24074,22068
151604,140367
40596,127733
40596,129752
40596,109211
40596,21570
40596,105670
40596,105676
40596,5685
40596,17344
40596,11025
40596,19616
40596,39310
40596,7471
40596,18353
23568,132246
23568,42404
23568,135117
23568,144464
23568,134340
23568,16853
20776,123649
20776,42505
34941,106060
34941,108967
34941,111714
34941,118635
34941,111715
34941,118458
34941,109623
34941,110482
34941,115015
34941,110828
34941,113688
34941,112479
34941,4161
146993,128826
146993,149991
42849,47900
42849,46709
113617,113105
113617,113013
113617,106297
113617,30115
248786,282948
47968,143657
47968,19801
47968,125334
47968,134
47968,13681
47968,47681
6822,42885
6822,42886
6822,7897
18119,148363
18119,104720
32983,42486
13181,121706
300947,300069
300947,284927
7346,104994
132184,161596
132184,36927
5496,111470
5496,170062
5496,107680
5496,224519
5496,31052
5496,110045
5496,109684
7047,107788
24771,110457
169457,104862
169457,157458
121456,47342
121456,110965
121456,298
16009,5249
16009,19177
16009,16009
139308,150987
139308,147382
139308,107938
139308,35682
139308,31334
139308,103934
139308,140185
139308,125202
139308,145995
139308,149711
139308,145580
139308,148403
139308,144495
139308,110618
139308,112161
139308,113972
139308,107095
139308,111208
139308,47268
139308,133402
139308,17454
139308,105764
139308,231
139308,132057
139308,105642
139308,105616
139308,47658
139308,107644
139308,106983
139308,128557
139308,132246
139308,140314
139308,7560
139308,36671
139308,112559
139308,112330
139308,106108
139308,14508
139308,35693
286507,128030
135474,119721
29258,142150
29258,135661
29258,106266
37886,148269
37886,3989
37886,106494
37886,34815
37886,107235
37886,108934
37886,36259
37886,2882
37886,111091
104387,299309
17009,113229
17009,28519
37739,286485
37739,169120
136138,17708
136138,165229
7116,45670
289,106591
289,111175
289,47837
289,25585
289,14007
289,108128
289,105360
289,109264
289,105352
289,105349
289,7369
289,108778
289,107584
289,107590
289,106529
282107,20989
282107,113359
282107,104234
282107,79
10485,120653
10485,146696
10485,146688
10485,146690
10485,132479
10485,139345
10485,130352
10485,124506
10485,127077
10485,36368
150156,123717
150156,159014
150156,159738
150156,155006
150156,105552
150156,35451
150156,132246
150156,145797
285420,141684
285420,284659
285420,286256
285420,283937
39438,162262
39438,162379
39438,161987
39438,165482
39438,164594
39438,38642
39438,108928
39438,109457
39438,108069
39438,106843
39438,107105
39438,106614
39438,105247
45155,25988
45269,37761
126160,112112
136223,157155
40395,111168
40395,6363
40395,840
40395,139135
40395,108257
40395,110518
40395,10205
104014,104090
170141,115122
170141,207515
104088,27107
104088,103863
104088,37306
104088,754
104088,4257
104088,41692
104088,44731
104088,42399
34637,108281
34637,109516
34637,13041
34637,25927
34637,6848
34637,108248
34637,7784
34637,17507
34637,122048
34637,14285
46074,47737
147286,121629
801,6579
801,31194
801,36179
801,19434
801,15142
38654,128218
21206,110550
23131,109011
23131,25803
23131,126090
23131,13318
23131,505
23131,3866
23131,10205
23131,110518
23131,108604
23131,171070
23131,421
23131,154149
23131,133763
23131,7461
134293,135117
134293,23568
134293,134340
134293,144464
134293,16853
3641,281958
134039,147316
134039,117015
16986,2261
121669,135915
19631,104454
19631,40586
19631,3989
19631,23988
19631,111356
19631,28292
19631,106070
19631,833
19631,10111
19631,43373
19631,7059
19631,39213
19631,19253
19631,7447
19631,17053
19631,15387
286256,304656
286256,141684
286256,297800
286256,297799
286256,283937
286256,285420
119024,35519
119024,32211
30362,148123
142775,154558
142775,2525
142775,37306
142775,109112
142775,754
142775,104518
142775,108204
142775,119591
142775,118540
142775,120186
142775,109596
142775,136823
142775,139526
142775,139666
142775,107676
142775,105075
142775,105006
166318,277055
13255,13256
13255,19242
13255,13572
13255,34815
179528,132634
47865,102780
47865,3978
47865,145
47865,14232
47865,2580
36929,168638
36929,169568
36929,162264
36929,119003
36929,299118
36929,105724
36929,158277
36929,106006
36929,38030
36929,10409
40746,2269
132246,42404
132246,16853
132246,134340
132246,144464
132246,135117
132246,23568
164117,170450
164117,140808
164117,44848
155731,277051
36000,139217
36000,119537
36000,153777
36000,111386
36000,111397
36000,140415
36000,137463
36000,149777
36000,120444
36000,7059
36000,133084
36000,15387
36000,17053
36000,103768
47873,292433
47873,115788
47873,160009
47873,131243
21995,137217
21995,106181
21995,134224
21995,132931
21995,25299
21995,118649
21995,129758
21995,121254
21995,119841
21995,106316
21995,105375
21995,108333
21995,111731
21995,42046
21995,104926
21995,119386
21995,119040
21995,108794
21995,116548
21995,106720
21995,106005
21995,110038
21995,125997
169440,283907
41076,151953
41076,7616
41076,137358
41076,137350
41076,135564
41076,110879
41076,110806
41076,107993
316,6220
316,17587
316,124725
316,148818
316,110760
13498,299085
170803,133371
39213,6555
39213,120444
39213,133804
39213,133084
39213,108697
39213,15387
39213,40586
39213,3989
39213,10111
39213,23988
39213,17053
39213,7059
164484,131556
164484,1914
164484,5633
164484,153744
164484,7870
164484,111514
164484,18476
158871,145618
123434,294862
43363,131359
38931,148228
103953,131977
103953,120222
103953,119127
103953,107938
103953,105272
103953,111137
103953,109311
103953,122003
103953,110249
103953,105339
103953,109364
103953,107819
103953,109391
103953,109367
103953,116606
103953,106423
103953,109383
103953,31150
103953,107333
103953,26984
103953,4082
103953,107943
103953,25910
103953,11173
103953,7110
18476,1914
18476,131556
18476,164484
18476,153744
18476,5633
18476,111514
18476,7870
120719,172711
120719,138907
120719,36848
155854,152414
148243,277027
282331,159167
25299,150330
25299,288129
25299,174306
25299,158380
25299,106181
25299,119841
25299,106316
25299,119386
25299,106720
25299,121254
25299,148426
47380,14408
47380,3198
47380,7897
47380,42886
27529,38916
27529,35112
36881,45294
36881,44523
36881,2692
36881,5393
36881,13906
6956,124205
6956,29659
6956,19585
18196,7438
168638,169568
168638,106006
168638,36929
168638,169697
168638,158277
168638,105724
168638,119003
168638,38030
168638,10409
17073,153588
17073,25938
141724,135351
141724,35413
141724,33019
141724,103917
141724,134284
141724,120636
141724,121705
141724,113728
141724,101900
141724,45914
28195,104880
28195,148399
28195,42405
18502,106791
39301,111090
127787,39262
127787,110956
127787,46214
127787,10641
127787,42132
163144,293551
163144,40002
163144,157841
151796,14020
216511,106747
216511,159007
146193,283148
159534,160913
159534,106788
119341,106436
11852,299786
11852,108037
11852,13642
113911,125474
4173,165929
4173,285390
40581,110577
816,168401
816,151470
816,103821
816,113463
816,106012
8494,121364
151337,296003
151337,296001
151337,292803
151337,143571
151337,146629
151337,144533
16187,169172
42025,150530
13245,41924
13245,103787
13245,42759
13251,128093
125860,292783
104234,282107
104234,79
104234,113359
104234,107038
104234,110186
104234,20989
104234,102920
104234,106201
45502,19982
121963,41692
121963,754
121963,37306
121963,7172
106124,283024
128402,111229
39387,30958
39387,14671
39387,6555
35112,42901
35112,38916
41727,11025
41727,17344
41727,19616
41727,431
16686,168490
16686,105646
16686,281337
16686,149280
16686,111320
16686,110264
16686,137115
16686,106466
16686,44057
157988,109827
123210,122085
145064,166769
28432,107038
28432,282107
28432,172939
28432,134776
28432,106201
28432,109035
28432,102920
28432,20989
28432,42093
28432,79
28432,113359
7456,113412
7456,105440
7456,1432
115152,121767
115152,867
115152,47363
115152,2347
47770,150791
110942,166580
110942,301925
110942,300927
110942,300282
110942,145589
110942,293020
110942,292246
110942,297808
110942,297165
110942,297596
110942,297305
110942,167970
110942,285555
110942,122258
110942,288300
110942,291662
110942,281385
110942,289395
110942,289971
110942,288879
110942,287758
110942,106747
110942,282145
110942,285340
110942,284987
110942,283723
110942,286635
110942,284758
110942,286243
110942,287600
110942,283403
110942,129878
110942,282241
110942,282563
110942,281558
110942,281067
110942,277044
110942,221519
110942,221530
110942,175084
110942,174052
110942,171278
110942,173627
110942,168794
110942,168831
110942,15809
110942,165855
110942,166593
110942,159419
110942,159403
110942,156369
110942,152569
110942,124636
110942,152450
110942,25745
110942,143319
110942,143323
110942,148242
110942,141125
110942,143617
110942,145051
110942,105394
110942,145331
110942,109901
6848,301896
6848,299736
6848,288590
6848,171752
6848,168741
6848,166782
6848,148239
6848,148045
6848,133196
6848,115324
6848,108617
6848,13041
6848,7784
6848,17507
6848,108252
6848,108273
6848,108281
6848,104555
104286,102580
5698,111302
43513,38705
283992,291439
283992,288958
39293,134459
39293,120064
39293,32211
39293,23304
39293,35519
134152,126407
134152,21831
134152,120014
134152,100400
134152,103776
134152,35865
134152,33875
134152,35874
134152,29337
3336,284627
114514,2764
30642,106962
158878,13071
158878,137368
158878,135625
158878,148243
158878,43773
16570,27501
16570,7172
16570,17790
16570,15076
16570,2525
21928,121812
29678,112571
29678,120607
148313,148381
43381,132205
43381,123806
43381,120197
43381,120196
43381,113203
172196,170335
47919,108737
291387,289777
25454,35371
837,31194
837,36179
837,15142
837,6579
837,2202
837,41353
837,19434
837,801
837,45309
13456,16139
13456,2186
13456,19693
13456,46922
13456,7691
157642,308097
157642,286099
157642,285395
157642,291410
157642,133022
157642,157365
157642,291421
157642,291406
157642,156553
30330,170301
30330,136131
149672,137242
149672,128103
24497,108658
24497,157107
24497,142968
24497,190
24497,113606
24497,138756
122139,126539
152608,155204
19685,170739
19685,154801
19685,14455
19685,109550
19524,160430
19524,160431
155979,150463
120471,128990
120471,6271
120471,17499
120471,107174
120471,18229
137795,148386
137795,11687
140147,172496
140147,137147
38784,133042
35560,131487
35560,173725
36392,129505
20633,126052
160209,285974
144209,107695
104266,116681
104266,145323
30145,139143
5178,145
5178,3978
5178,108881
5178,3870
172912,158968
155655,153104
155655,151800
170640,300220
170640,294015
170640,111616
170640,287937
170640,153319
170640,153006
170640,167163
170640,157379
148904,159082
30648,290555
30188,151736
30188,170074
30188,15883
30188,285213
30188,123711
30188,290078
30188,173734
30188,118203
30188,133615
30188,156494
30188,148477
30188,172662
30188,172663
30188,118787
30188,103934
30188,35682
30188,147382
30188,150987
30188,31334
30188,143809
30188,45943
30188,13494
30188,130745
30188,46106
30188,7174
30188,15634
30188,30016
148423,172583
148423,104925
148423,168469
148423,104295
148423,7270
14007,157801
14007,157851
14007,147053
14007,30683
14007,107900
14007,103971
14007,104713
14007,134660
14007,142558
14007,131322
14007,104507
14007,105067
14007,109787
14007,16139
14007,7691
867,168186
867,174323
867,284263
867,161498
867,121767
867,2347
136131,170301
116778,108711
126136,285437
116150,110091
116150,21771
116150,329
116150,37550
116150,2881
6604,147746
6604,106699
6604,106077
6604,45995
6604,37819
33531,110083
37,108208
16100,19616
16100,11025
16100,35419
16100,126292
16100,133204
16100,680
16100,107923
16100,112660
16100,131539
16100,129752
16100,106442
16100,105670
16100,105676
16100,18353
16100,136274
16100,5685
16100,127733
16100,105658
16100,107469
16100,107959
16100,110667
16100,105812
16100,17344
16100,487
16100,104594
16100,132377
16100,133333
16100,108897
16100,21570
16100,147930
16100,116407
16100,130139
16100,41936
16100,104556
16100,123513
16100,133366
16100,113624
16100,13686
16100,106487
16100,104973
16100,110841
16100,5958
16100,10582
16100,105423
16100,110052
44244,40631
44244,43373
44244,833
44244,723
44244,40586
44244,3989
44244,39213
44244,10111
44244,19253
44244,7447
44244,15387
44244,23988
44244,17053
44244,7059
130390,130876
130390,131117
23741,29551
23741,28196
23741,19717
23741,20431
23741,7017
144501,127258
142203,31451
138116,25816
138116,123809
144899,107145
4163,487
4163,36486
4163,17344
4163,19616
297463,139366
297463,120708
144232,133816
126291,283952
126291,208512
126291,175112
145454,171064
145454,14503
145454,18697
145454,170628
145454,143365
145454,151152
145454,141363
145454,109485
145454,34643
145454,104761
145454,137888
145454,140292
145454,165436
145454,105644
145454,124446
145454,43177
145454,13572
145454,10299
145454,15340
145454,10358
145454,30999
145454,32444
133615,165252
133615,147382
133615,150987
133615,31334
133615,13494
133615,15634
133615,45943
133615,30016
133615,7174
133615,130745
133615,46106
133615,143809
133615,123711
133615,290078
133615,173734
133615,148477
133615,172662
133615,172663
133615,118787
133615,35682
133615,103934
133615,277046
133615,285411
133615,213515
133615,306760
133615,103848
133615,151736
133615,170074
133615,15883
133615,285213
133615,118203
133615,106054
133615,147363
133615,156494
31299,148269
31299,3989
31299,136865
31299,45744
31299,136016
31299,111289
31299,106256
31299,106494
31299,13572
31299,19242
31299,34815
31299,23302
31299,28872
31299,21675
31299,36259
31299,10299
31299,2882
31299,15340
147382,306760
147382,103848
147382,15883
147382,173734
147382,148477
147382,172662
147382,172663
147382,118787
147382,143809
147382,30016
147382,7174
147382,45943
147382,13494
147382,15634
147382,130745
147382,46106
147382,150987
147382,31334
147382,103934
147382,35682
31793,175448
146999,156397
146999,156396
269991,290660
566,136300
124392,124341
298008,158399
148085,174904
148085,139785
148085,109439
148085,128324
148085,110653
148085,149018
148085,139749
148085,25853
148085,6694
148085,705
42901,38916
42901,35112
131489,139904
131489,172658
131489,172753
131489,157565
131489,151829
131489,143299
131489,113930
131489,129052
131489,15647
118384,39258
20373,147053
20373,146121
20373,103919
20373,10598
20373,16361
20373,112613
20373,13906
20373,109794
20373,104713
20373,111168
20373,30683
20373,103971
20373,112596
20373,107900
20373,26091
15340,285648
15340,109485
15340,137888
15340,32444
15340,165436
15340,105644
15340,10358
15340,13572
15340,10299
1834,39163
1834,117901
7447,106323
7447,106239
7447,107762
7447,133084
7447,133804
7447,104454
7447,10111
7447,40586
7447,7059
7447,39213
7447,19253
7447,23988
7447,17053
7447,15387
7447,3989
164503,306148
164503,277132
164503,170663
164503,169829
164503,112161
164503,105642
164503,7560
164503,36671
164503,145995
164503,107095
164503,111208
164503,133402
164503,105764
164503,231
164503,106108
164503,17454
164503,128557
164503,160617
39455,296788
141391,30770
141391,182513
141391,283102
141391,134742
141391,288442
142619,113106
36538,155054
150987,306760
150987,103848
150987,15883
150987,173734
150987,148477
150987,172662
150987,172663
150987,118787
150987,143809
150987,30016
150987,7174
150987,45943
150987,13494
150987,15634
150987,130745
150987,46106
150987,31334
150987,147382
150987,103934
150987,35682
883,104474
883,107445
883,14549
883,6627
883,104845
883,25900
153786,122020
150959,25027
150959,292062
150959,106607
150959,2543
150959,160510
138138,124969
138138,124970
138138,112468
138138,7506
10759,116515
38913,146047
7289,1326
7289,15733
7289,102920
7289,20989
7289,25574
7289,18718
7289,17116
298608,23224
298608,282580
16361,106940
16361,138476
16361,138123
16361,105636
16361,121876
16361,127218
16361,123122
16361,113078
16361,104626
16361,134660
16361,138023
16361,7691
16361,469
16361,132035
16361,108559
16361,105108
16361,142558
16361,120680
16361,131526
16361,131322
16361,14007
16361,104507
16361,105067
16361,109787
16361,16139
16361,19693
16361,147053
16361,109794
16361,103971
16361,30683
16361,111168
16361,104713
16361,112613
16361,107900
16361,26091
23974,165620
23974,145876
23974,108254
23974,665
15514,166196
15514,29686
15514,133795
157975,147909
157975,126201
120894,137789
145560,161131
38235,152401
43934,104162
43934,8509
139107,290891
139107,125261
113818,108068
113818,284626
113818,174177
36909,126351
36909,126342
24535,108344
103724,7897
103724,4297
103724,42885
31141,155745
140017,117449
298343,156543
298343,170005
39636,147382
39636,104676
39636,36757
39636,109935
39636,110227
39636,108928
39636,107059
39636,108069
39636,135051
39636,113930
39636,109457
39636,104552
39636,127003
39636,129052
39636,107938
39636,38642
39636,15647
39636,103934
39636,45943
39636,35682
39636,31334
37426,138902
37426,44018
37426,31295
16443,169439
16443,114527
16443,107269
16443,29604
16443,111079
16443,2225
16443,40178
16443,12984
10081,173400
19801,285841
19801,125334
19801,151012
19801,154075
19801,19982
19801,161441
19801,170228
19801,137897
19801,159296
19801,47681
19801,134
19801,13681
13562,129287
279035,175397
42429,43784
7325,13109
7325,112058
7325,106629
7325,105201
136805,150413
289250,283253
3420,134510
26293,107927
103976,159283
103976,288933
17972,47955
43120,37305
31153,124213
284939,283872
284939,174400
27502,24088
120738,131585
120738,157625
39615,29753
42850,134921
38057,147312
170605,127434
170605,37484
122677,129271
104485,167280
104485,134159
104485,103782
104153,152072
27263,119724
27263,41920
27263,37945
146627,145594
101161,297516
154801,14455
154801,19685
154801,109550
40375,290605
40375,285851
40375,154680
7114,19740
8200,146850
109371,130745
109371,107808
109371,6784
133158,163848
30505,44254
30505,105631
30505,103846
10205,23131
10205,421
10205,133763
10205,7461
10205,171070
10205,126090
10205,13318
10205,3866
10205,165127
10205,25803
10205,109011
10205,108604
10205,505
10205,7684
10205,110518
284203,153856
47746,6105
47746,19018
101860,104249
150232,165290
38030,169568
38030,168638
38030,103797
38030,169697
38030,158277
38030,105724
38030,119003
38030,10409
38030,36929
38030,106006
283856,282143
30149,107153
38598,112093
38598,106988
19948,21543
19948,112624
19948,13572
19948,13256
19948,19242
19948,34815
19948,37886
19948,31299
19948,23302
19948,15340
19948,2882
19948,28872
19948,29645
19948,21644
19948,21675
19948,36259
19948,10299
19948,10332
19948,105316
136113,106661
133022,308097
133022,286099
133022,291410
133022,157642
133022,291421
133022,291406
133022,156553
133022,157365
133022,285395
31339,103899
31339,43705
31339,45486
31339,46735
31339,36070
31339,47224
31339,47340
31339,361
31339,102500
31339,13822
31339,41924
31339,31306
31339,3466
24900,117113
141684,304656
141684,283937
141684,297800
141684,285420
141684,286256
141684,282630
167186,152971
167186,157804
18229,17499
18229,6271
287728,226550
289328,146144
289328,108666
166325,162754
166325,146366
45943,306760
45943,103848
45943,15883
45943,173734
45943,148477
45943,172662
45943,172663
45943,118787
45943,103934
45943,35682
45943,147382
45943,150987
45943,31334
45943,143809
45943,130745
45943,46106
45943,13494
45943,30016
45943,7174
45943,15634
10010,114686
44319,104951
14840,307580
14840,306487
14840,160569
14840,25878
14840,161420
14840,2998
14840,107367
14840,124982
14840,113506
14840,113042
14840,124744
7033,19739
7033,2762
7033,20004
7033,19738
7033,22110
7033,19710
7033,22109
7033,31202
6580,6362
6580,17664
25878,306487
25878,160569
25878,14840
25878,161420
25878,113506
25878,113042
25878,107367
25878,2998
25878,124982
25878,124744
42293,112352
47837,143238
47837,141854
47837,125601
47837,105352
47837,126572
47837,105349
47837,109644
47837,25585
47837,109264
47837,107590
47837,107584
47837,105360
47837,108128
47837,107155
47837,109985
47837,109923
47837,7369
46585,168796
46585,305708
46585,304307
46585,304477
46585,160980
46585,109120
46585,41924
46585,19662
46585,42759
46585,103787
46585,296294
46585,292459
46585,160114
